"Antecedent","Consequent","support","confidence","coverage","lift","count","conviction","cosine","jaccard","Fisher","hlift","hconf"
"{NMF_Cheeks=1} "," {NMF_CA=1}","0.011375042","0.41975309","0.027099364","1.202917","  34"," 1.122029","0.11697532","0.031192661","0.108906907651936030179129488715261686593294143676757812500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.8947368","0.8910931"
"{NMF_CA=1} "," {NMF_Cheeks=1}","0.011375042","0.03259827","0.348946136","1.202917","  34"," 1.005684","0.11697532","0.031192661","0.108906907651936071812492912158631952479481697082519531250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.8947368","0.8910931"
"{NMF_Cheeks=1} "," {NMF_Body=1}","0.022080964","0.81481481","0.027099364","1.293405","  66"," 1.998126","0.16899594","0.034773446","0.000206273371445697749175518520559080570819787681102752685546875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","1.0819672","0.9997937"
"{NMF_Body=1} "," {NMF_Cheeks=1}","0.022080964","0.03505045","0.629976581","1.293405","  66"," 1.008240","0.16899594","0.034773446","0.000206273371445697966015953017659967372310347855091094970703125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","1.0819672","0.9997937"
"{NMF_Cheeks=1} "," {Content_word=1}","0.023084644","0.85185185","0.027099364","1.222952","  69"," 2.048260","0.16802203","0.032951289","0.000879730273951409417511337895945189302437938749790191650390625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","1.0454545","0.9991203"
"{Content_word=1} "," {NMF_Cheeks=1}","0.023084644","0.03314121","0.696554031","1.222952","  69"," 1.006249","0.16802203","0.032951289","0.000879730273951406381745254936532774081570096313953399658203125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","1.0454545","0.9991203"
"{NMF_Cheeks=1} "," {Function_word=0}","0.024757444","0.91358025","0.027099364","1.221786","  74"," 2.918989","0.17392037","0.033006244","0.000118173296505844286209511995178189636135357432067394256591796875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","1.0724638","0.9998818"
"{Function_word=0} "," {NMF_Cheeks=1}","0.024757444","0.03310962","0.747741720","1.221786","  74"," 1.006216","0.17392037","0.033006244","0.000118173296505844584365109428691908988184877671301364898681640625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","1.0724638","0.9998818"
"{NMF_Eyegaze=0} "," {NMF_Head=0}","0.007025761","0.22580645","0.031114085","1.780832","  21"," 1.127886","0.11185572","0.046563193","0.005019959181753859411845297699983348138630390167236328125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","1.0500000","0.9949800"
"{NMF_Head=0} "," {NMF_Eyegaze=0}","0.007025761","0.05540897","0.126798260","1.780832","  21"," 1.025720","0.11185572","0.046563193","0.005019959181753859411845297699983348138630390167236328125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","1.0500000","0.9949800"
"{NMF_Eyegaze=0} "," {Function_word=1}","0.011375042","0.36559140","0.031114085","1.449274","  34"," 1.178644","0.12839608","0.041820418","0.009110501564512318850574956741183996200561523437500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","1.0303030","0.9908895"
"{Function_word=1} "," {NMF_Eyegaze=0}","0.011375042","0.04509284","0.252258280","1.449274","  34"," 1.014639","0.12839608","0.041820418","0.009110501564512318850574956741183996200561523437500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","1.0303030","0.9908895"
"{NMF_Eyegaze=0} "," {Content_word=0}","0.013716962","0.44086022","0.031114085","1.452846","  41"," 1.245760","0.14116881","0.042752868","0.003080654302974424572914013964464174932800233364105224609375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","1.0512821","0.9969193"
"{Content_word=0} "," {NMF_Eyegaze=0}","0.013716962","0.04520397","0.303445969","1.452846","  41"," 1.014757","0.14116881","0.042752868","0.003080654302974417634020110057235797285102307796478271484375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","1.0512821","0.9969193"
"{NMF_Eyegaze=0} "," {NMF_Body=0}","0.017731683","0.56989247","0.031114085","1.540152","  53"," 1.464696","0.16525585","0.046247818","0.000054526645017658702781562785055768927122699096798896789550781250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","1.1777778","0.9999455"
"{NMF_Body=0} "," {NMF_Eyegaze=0}","0.017731683","0.04792043","0.370023419","1.540152","  53"," 1.017652","0.16525585","0.046247818","0.000054526645017658587587250362815893822698853909969329833984375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","1.1777778","0.9999455"
"{NMF_Eyegaze=0} "," {NMF_Eyebrows=0}","0.019404483","0.62365591","0.031114085","1.310905","  58"," 1.393022","0.15949120","0.039807824","0.002543702692704546183127822800429385097231715917587280273437500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","1.0545455","0.9974563"
"{NMF_Eyebrows=0} "," {NMF_Eyegaze=0}","0.019404483","0.04078762","0.475744396","1.310905","  58"," 1.010085","0.15949120","0.039807824","0.002543702692704547050489560788832932303193956613540649414062500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","1.0545455","0.9974563"
"{NMF_Eyegaze=0} "," {NMF_EyeAp=1}","0.023419204","0.75268817","0.031114085","1.269630","  70"," 1.646341","0.17243472","0.038997214","0.000782277559410223606757572856196247812476940453052520751953125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","1.0606061","0.9992177"
"{NMF_EyeAp=1} "," {NMF_Eyegaze=0}","0.023419204","0.03950339","0.592840415","1.269630","  70"," 1.008734","0.17243472","0.038997214","0.000782277559410226208842786821406889430363662540912628173828125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","1.0606061","0.9992177"
"{NMF_Head=0} "," {NMF_Body=0}","0.078287053","0.61741425","0.126798260","1.668582"," 234"," 1.646628","0.36142542","0.187050360","0.000000000000000000000000104105817089325853317446218815334191276633646339178085327148437500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","1.4534161","1.0000000"
"{NMF_Body=0} "," {NMF_Head=0}","0.078287053","0.21157324","0.370023419","1.668582"," 234"," 1.107524","0.36142542","0.187050360","0.000000000000000000000000104105817089324292109685926588369397904898505657911300659179687500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","1.4534161","1.0000000"
"{NMF_Head=0} "," {NMF_CA=0}","0.103044496","0.81266491","0.126798260","1.248230"," 308"," 1.862684","0.35864080","0.152702033","0.000000000000129759851855361250700000852464910394701291806995868682861328125000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","1.1535581","1.0000000"
"{NMF_CA=0} "," {NMF_Head=0}","0.103044496","0.15827338","0.651053864","1.248230"," 308"," 1.037394","0.35864080","0.152702033","0.000000000000129759851855361124487592272558345030120108276605606079101562500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","1.1535581","1.0000000"
"{Function_word=1} "," {Content_word=0}","0.204081633","0.80901857","0.252258280","2.666104"," 610"," 3.647234","0.73763331","0.580399619","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001189995","2.4015748","1.0000000"
"{Content_word=0} "," {Function_word=1}","0.204081633","0.67254686","0.303445969","2.666104"," 610"," 2.283508","0.73763331","0.580399619","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001189995","2.4015748","1.0000000"
"{NMF_EyeAp=0} "," {NMF_Eyebrows=0}","0.232853797","0.57189811","0.407159585","1.202112"," 696"," 1.224605","0.52907124","0.358208955","0.000000000000000001680818799345010151197188363880741235334426164627075195312500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","1.1409836","1.0000000"
"{NMF_Eyebrows=0} "," {NMF_EyeAp=0}","0.232853797","0.48945148","0.475744396","1.202112"," 696"," 1.161183","0.52907124","0.358208955","0.000000000000000001680818799344994166587718975591769776656292378902435302734375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","1.1409836","1.0000000"
"{Content_word=1} "," {Function_word=0}","0.648377384","0.93083573","0.696554031","1.244863","1938"," 3.647234","0.89841014","0.814627995","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001189995","1.2250316","1.0000000"
"{Function_word=0} "," {Content_word=1}","0.648377384","0.86711409","0.747741720","1.244863","1938"," 2.283508","0.89841014","0.814627995","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001189995","1.2250316","1.0000000"
"{NMF_Cheeks=1,Function_word=1} "," {Content_word=0}","0.002007360","0.85714286","0.002341920","2.824697","   6"," 4.875878","0.07530063","0.006607930","0.004003589099753595247077608831887118867598474025726318359375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","1.2000000","0.9959964"
"{NMF_Cheeks=1,Content_word=0} "," {Function_word=1}","0.002007360","0.50000000","0.004014721","1.982095","   6"," 1.495483","0.06307757","0.007894737","0.056239018742508334325336250003601890057325363159179687500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.8571429","0.9437610"
"{NMF_Cheeks=1,Function_word=1} "," {NMF_EyeAp=0}","0.001338240","0.57142857","0.002341920","1.403451","   4"," 1.383294","0.04333768","0.003278689","0.303586107384808623343985800602240487933158874511718750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.6666667","0.6964139"
"{NMF_Cheeks=1,Function_word=1} "," {NMF_CA=0}","0.002007360","0.85714286","0.002341920","1.316547","   6"," 2.442623","0.05140801","0.003081664","0.235286653182868038536312838004960212856531143188476562500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.8571429","0.7647133"
"{NMF_Cheeks=1,Content_word=0} "," {NMF_CA=1}","0.002007360","0.50000000","0.004014721","1.432886","   6"," 1.302108","0.05363132","0.005719733","0.210001645500513173248080533994652796536684036254882812500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.7500000","0.7899984"
"{NMF_Cheeks=1,NMF_Eyebrows=0} "," {NMF_CA=1}","0.006022081","0.45000000","0.013382402","1.289597","  18"," 1.183734","0.08812525","0.016901408","0.119393273909738709126493461099016712978482246398925781250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","0.8571429","0.8806067"
